,departement,frequence_mesure,annee,type_mesure,population,code_dep
247,2024-DEP-974,A,2022,PMUN,881348.0,74
248,2024-DEP-94,A,2022,PTOT,1428350.0,94
249,2024-DEP-06,A,2022,PCAP,13876.0,06
250,2024-DEP-83,A,2022,PMUN,1108364.0,83
251,2024-DEP-12,A,2022,PTOT,289781.0,12
252,2024-DEP-30,A,2022,PCAP,13313.0,30
253,2024-DEP-45,A,2022,PCAP,14497.0,45
254,2024-DEP-86,A,2022,PTOT,448866.0,86
255,2024-DEP-73,A,2022,PTOT,457463.0,73
256,2024-DEP-26,A,2022,PCAP,12645.0,26
257,2024-DEP-55,A,2022,PMUN,180745.0,55
258,2024-DEP-48,A,2022,PTOT,80049.0,48
259,2024-DEP-83,A,2022,PCAP,16125.0,83
260,2024-DEP-24,A,2022,PCAP,10120.0,24
261,2024-DEP-55,A,2022,PCAP,5008.0,55
262,2024-DEP-89,A,2022,PMUN,333896.0,89
263,2024-DEP-70,A,2022,PMUN,233920.0,70
264,2024-DEP-37,A,2022,PMUN,616326.0,37
265,2024-DEP-2A,A,2022,PCAP,2331.0,2A
266,2024-DEP-77,A,2022,PCAP,16060.0,77
267,2024-DEP-88,A,2022,PMUN,358700.0,88
268,2024-DEP-71,A,2022,PCAP,14854.0,71
269,2024-DEP-36,A,2022,PTOT,222400.0,36
270,2024-DEP-89,A,2022,PCAP,8199.0,89
271,2024-DEP-29,A,2022,PCAP,24439.0,29
272,2024-DEP-11,A,2022,PCAP,8293.0,11
273,2024-DEP-25,A,2022,PMUN,548662.0,25
274,2024-DEP-13,A,2022,PTOT,2093958.0,13
275,2024-DEP-90,A,2022,PCAP,2907.0,90
276,2024-DEP-02,A,2022,PTOT,536985.0,02
277,2024-DEP-82,A,2022,PMUN,264924.0,82
278,2024-DEP-28,A,2022,PMUN,432950.0,28
279,2024-DEP-04,A,2022,PMUN,167179.0,04
280,2024-DEP-09,A,2022,PCAP,3970.0,09
281,2024-DEP-973,A,2022,PMUN,288382.0,73
282,2024-DEP-95,A,2022,PTOT,1280338.0,95
283,2024-DEP-72,A,2022,PMUN,566129.0,72
284,2024-DEP-85,A,2022,PMUN,706343.0,85
285,2024-DEP-47,A,2022,PCAP,7959.0,47
286,2024-DEP-63,A,2022,PCAP,14238.0,63
287,2024-DEP-07,A,2022,PMUN,333229.0,07
288,2024-DEP-2B,A,2022,PCAP,2612.0,2B
289,2024-DEP-14,A,2022,PMUN,704605.0,14
290,2024-DEP-33,A,2022,PCAP,26127.0,33
291,2024-DEP-88,A,2022,PCAP,10369.0,88
292,2024-DEP-12,A,2022,PCAP,10045.0,12
293,2024-DEP-51,A,2022,PTOT,575111.0,51
294,2024-DEP-38,A,2022,PMUN,1291380.0,38
295,2024-DEP-01,A,2022,PMUN,671289.0,01
296,2024-DEP-44,A,2022,PMUN,1473156.0,44
297,2024-DEP-38,A,2022,PTOT,1316153.0,38
298,2024-DEP-10,A,2022,PMUN,311076.0,10
299,2024-DEP-41,A,2022,PTOT,337416.0,41
300,2024-DEP-02,A,2011,PTOT,555893.0,02
301,2024-DEP-64,A,2011,PMUN,656608.0,64
302,2024-DEP-2A,A,2011,PMUN,145846.0,2A
303,2024-DEP-83,A,2011,PMUN,1012735.0,83
304,2024-DEP-05,A,2011,PTOT,143962.0,05
305,2024-DEP-80,A,2011,PMUN,571211.0,80
306,2024-DEP-30,A,2011,PCAP,16566.0,30
307,2024-DEP-38,A,2011,PTOT,1243170.0,38
308,2024-DEP-64,A,2011,PTOT,678174.0,64
309,2024-DEP-24,A,2011,PMUN,415168.0,24
310,2024-DEP-34,A,2011,PCAP,18787.0,34
311,2024-DEP-27,A,2011,PMUN,588111.0,27
312,2024-DEP-58,A,2011,PMUN,218341.0,58
313,2024-DEP-43,A,2011,PMUN,224907.0,43
314,2024-DEP-09,A,2011,PTOT,157936.0,09
315,2024-DEP-82,A,2011,PMUN,244545.0,82
316,2024-DEP-973,A,2011,PTOT,239849.0,73
317,2024-DEP-971,A,2011,PTOT,411507.0,71
318,2024-DEP-38,A,2011,PMUN,1215212.0,38
319,2024-DEP-60,A,2011,PMUN,805642.0,60
320,2024-DEP-92,A,2011,PMUN,1581628.0,92
321,2024-DEP-25,A,2011,PMUN,529103.0,25
322,2024-DEP-11,A,2011,PTOT,369503.0,11
323,2024-DEP-36,A,2011,PTOT,237356.0,36
324,2024-DEP-04,A,2011,PTOT,166014.0,04
325,2024-DEP-02,A,2011,PCAP,14637.0,02
326,2024-DEP-12,A,2011,PTOT,287417.0,12
327,2024-DEP-08,A,2011,PMUN,283110.0,08
328,2024-DEP-37,A,2011,PMUN,593683.0,37
329,2024-DEP-71,A,2011,PMUN,555999.0,71
330,2024-DEP-62,A,2011,PTOT,1490514.0,62
331,2024-DEP-91,A,2011,PCAP,19120.0,91
332,2024-DEP-21,A,2011,PMUN,525931.0,21
333,2024-DEP-90,A,2011,PTOT,146935.0,90
334,2024-DEP-89,A,2011,PMUN,342463.0,89
335,2024-DEP-972,A,2011,PTOT,398864.0,72
336,2024-DEP-76,A,2011,PCAP,25626.0,76
337,2024-DEP-36,A,2011,PCAP,7181.0,36
338,2024-DEP-91,A,2011,PMUN,1225191.0,91
339,2024-DEP-47,A,2011,PMUN,330866.0,47
340,2024-DEP-41,A,2011,PTOT,341885.0,41
341,2024-DEP-62,A,2011,PMUN,1462807.0,62
342,2024-DEP-17,A,2011,PMUN,625682.0,17
343,2024-DEP-87,A,2011,PCAP,8662.0,87
344,2024-DEP-94,A,2011,PMUN,1333702.0,94
345,2024-DEP-69,A,2011,PTOT,1775953.0,69
346,2024-DEP-74,A,2011,PMUN,746994.0,74
347,2024-DEP-63,A,2011,PMUN,635469.0,63
348,2024-DEP-55,A,2011,PCAP,6511.0,55
349,2024-DEP-27,A,2011,PCAP,17102.0,27
350,2024-DEP-71,A,2011,PTOT,575050.0,71
351,2024-DEP-08,A,2011,PTOT,291472.0,08
352,2024-DEP-57,A,2011,PMUN,1045146.0,57
353,2024-DEP-60,A,2011,PCAP,20285.0,60
354,2024-DEP-90,A,2011,PCAP,3587.0,90
355,2024-DEP-74,A,2011,PCAP,23456.0,74
356,2024-DEP-68,A,2011,PCAP,16338.0,68
357,2024-DEP-01,A,2011,PMUN,603827.0,01
358,2024-DEP-50,A,2011,PCAP,18487.0,50
359,2024-DEP-85,A,2011,PCAP,19247.0,85
360,2024-DEP-86,A,2011,PTOT,439686.0,86
361,2024-DEP-23,A,2011,PCAP,4983.0,23
362,2024-DEP-61,A,2011,PMUN,290891.0,61
363,2024-DEP-39,A,2011,PMUN,261294.0,39
364,2024-DEP-92,A,2011,PTOT,1600568.0,92
365,2024-DEP-70,A,2011,PTOT,247674.0,70
366,2024-DEP-82,A,2011,PTOT,251042.0,82
367,2024-DEP-26,A,2011,PCAP,14884.0,26
368,2024-DEP-40,A,2011,PCAP,13633.0,40
369,2024-DEP-16,A,2011,PMUN,352705.0,16
370,2024-DEP-42,A,2011,PMUN,749053.0,42
371,2024-DEP-974,A,2011,PCAP,9036.0,74
372,2024-DEP-85,A,2011,PMUN,641657.0,85
373,2024-DEP-57,A,2011,PCAP,21651.0,57
374,2024-DEP-30,A,2011,PTOT,734923.0,30
375,2024-DEP-86,A,2011,PCAP,11239.0,86
376,2024-DEP-48,A,2011,PMUN,77156.0,48
377,2024-DEP-28,A,2011,PTOT,441836.0,28
378,2024-DEP-973,A,2011,PCAP,2300.0,73
379,2024-DEP-93,A,2011,PCAP,12833.0,93
380,2024-DEP-57,A,2011,PTOT,1066797.0,57
381,2024-DEP-84,A,2011,PTOT,558861.0,84
382,2024-DEP-73,A,2011,PTOT,433118.0,73
383,2024-DEP-16,A,2011,PCAP,13146.0,16
384,2024-DEP-29,A,2011,PCAP,31841.0,29
385,2024-DEP-39,A,2011,PTOT,271660.0,39
386,2024-DEP-50,A,2011,PTOT,518571.0,50
387,2024-DEP-2B,A,2011,PCAP,2841.0,2B
388,2024-DEP-46,A,2011,PTOT,181443.0,46
389,2024-DEP-47,A,2011,PCAP,11087.0,47
390,2024-DEP-2B,A,2011,PMUN,168640.0,2B
391,2024-DEP-11,A,2011,PMUN,359967.0,11
392,2024-DEP-24,A,2011,PCAP,12700.0,24
393,2024-DEP-84,A,2011,PCAP,12231.0,84
394,2024-DEP-54,A,2011,PCAP,14387.0,54
395,2024-DEP-33,A,2011,PTOT,1494064.0,33
396,2024-DEP-974,A,2011,PTOT,837617.0,74
397,2024-DEP-09,A,2011,PCAP,5650.0,09
398,2024-DEP-18,A,2011,PMUN,311694.0,18
399,2024-DEP-51,A,2011,PMUN,566617.0,51
400,2024-DEP-73,A,2011,PMUN,418949.0,73
401,2024-DEP-56,A,2011,PTOT,750234.0,56
402,2024-DEP-79,A,2011,PMUN,370939.0,79
403,2024-DEP-61,A,2011,PTOT,300387.0,61
404,2024-DEP-39,A,2011,PCAP,10366.0,39
405,2024-DEP-18,A,2011,PTOT,319962.0,18
406,2024-DEP-81,A,2011,PMUN,377675.0,81
407,2024-DEP-13,A,2011,PMUN,1975896.0,13
408,2024-DEP-22,A,2011,PCAP,20598.0,22
409,2024-DEP-50,A,2011,PMUN,500084.0,50
